Boro Code,Boro Ct,CT,County,Geometry,LRS,Number of Records,Boro Code1,Boro Ct201,Boro Name,Cdeligibil,Ct2010,Ctlabel,Ntacode,Ntaname,Puma,Shape Area,Shape Leng
2,2002300,002300,Bronx County,POLYGON,38.3,1,2,2002300,Bronx,E,002300,23,BX39,Mott Haven-Port Morris,3710,1126747.46453,4717.34212305
2,2002400,002400,Bronx County,POLYGON,,1,2,2002400,Bronx,I,002400,24,BX99,park-cemetery-etc-Bronx,3709,7665690.2441,18026.2788829
2,2002500,002500,Bronx County,POLYGON,39.1,1,2,2002500,Bronx,E,002500,25,BX39,Mott Haven-Port Morris,3710,1372151.31578,5019.28223215
2,2002701,002701,Bronx County,POLYGON,40.7,1,2,2002701,Bronx,E,002701,27.01,BX39,Mott Haven-Port Morris,3710,875817.553068,4100.5136296
2,2002702,002702,Bronx County,POLYGON,38.4,1,2,2002702,Bronx,E,002702,27.02,BX39,Mott Haven-Port Morris,3710,1677797.87449,6087.90039818
2,2002800,002800,Bronx County,POLYGON,30.5,1,2,2002800,Bronx,E,002800,28,BX09,Soundview-Castle Hill-Clason Point-Harding Park,3709,4708110.07008,9168.56938881
2,2006300,006300,Bronx County,POLYGON,34.6,1,2,2006300,Bronx,I,006300,63,BX63,West Concourse,3708,11409990.4866,20071.8612706
2,2006400,006400,Bronx County,POLYGON,32.4,1,2,2006400,Bronx,E,006400,64,BX08,West Farms-Bronx River,3709,1838857.09121,5786.32869511
2,2006500,006500,Bronx County,POLYGON,39.9,1,2,2006500,Bronx,I,006500,65,BX34,Melrose South-Mott Haven North,3710,2816027.75221,9811.64027947
2,2006700,006700,Bronx County,POLYGON,37.9,1,2,2006700,Bronx,E,006700,67,BX34,Melrose South-Mott Haven North,3710,2277490.13995,6521.59065001
2,2006800,006800,Bronx County,POLYGON,32.3,1,2,2006800,Bronx,E,006800,68,BX55,Soundview-Bruckner,3709,1692236.8872,5612.22944017
2,2006900,006900,Bronx County,POLYGON,37.2,1,2,2006900,Bronx,E,006900,69,BX34,Melrose South-Mott Haven North,3710,2029126.11687,6537.68939477
2,2004001,004001,Bronx County,POLYGON,26.7,1,2,2004001,Bronx,E,004001,40.01,BX55,Soundview-Bruckner,3709,1325276.15999,4916.71564335
2,2004100,004100,Bronx County,POLYGON,39.6,1,2,2004100,Bronx,E,004100,41,BX39,Mott Haven-Port Morris,3710,1977775.59012,6688.41280898
2,2004200,004200,Bronx County,POLYGON,35,1,2,2004200,Bronx,E,004200,42,BX09,Soundview-Castle Hill-Clason Point-Harding Park,3709,5212172.34038,10267.9931523
2,2004300,004300,Bronx County,POLYGON,37.6,1,2,2004300,Bronx,E,004300,43,BX39,Mott Haven-Port Morris,3710,2440998.84461,6495.65047322
2,2004400,004400,Bronx County,POLYGON,36.8,1,2,2004400,Bronx,E,004400,44,BX55,Soundview-Bruckner,3709,2884623.97817,8675.98317971
2,2004600,004600,Bronx County,POLYGON,31.7,1,2,2004600,Bronx,E,004600,46,BX09,Soundview-Castle Hill-Clason Point-Harding Park,3709,1432044.16509,5224.60188639
